,time,retweet_count,text Positive Sentiment Score,text Negative Sentiment Score
395,2022-04-19 17:31:54+00:00,2,0.142,0.179
396,2022-04-19 17:21:33+00:00,3,0.0,0.13
397,2022-04-19 17:14:34+00:00,1,0.0,0.0
398,2022-04-19 17:13:30+00:00,4785,0.084,0.139
399,2022-04-19 17:07:54+00:00,597,0.0,0.167
400,2022-04-19 16:41:34+00:00,804,0.0,0.143
401,2022-04-19 16:41:26+00:00,2206,0.0,0.0
402,2022-04-19 16:38:33+00:00,29,0.482,0.0
403,2022-04-19 16:37:59+00:00,4795,0.0,0.0
404,2022-04-19 16:09:50+00:00,63,0.0,0.0
405,2022-04-19 16:05:18+00:00,1415,0.152,0.287
406,2022-04-19 14:56:39+00:00,87,0.0,0.147
407,2022-04-19 14:41:44+00:00,985,0.0,0.28
408,2022-04-19 14:30:28+00:00,498,0.11,0.0
409,2022-04-19 14:13:33+00:00,629,0.091,0.0
410,2022-04-19 14:12:05+00:00,753,0.0,0.0
411,2022-04-19 14:02:16+00:00,144,0.177,0.0
412,2022-04-19 14:02:13+00:00,52,0.274,0.0
413,2022-04-19 13:19:46+00:00,530,0.0,0.0
414,2022-04-19 12:06:03+00:00,3065,0.0,0.158
415,2022-04-19 12:05:19+00:00,50,0.0,0.0
416,2022-04-19 12:02:45+00:00,11,0.086,0.245
417,2022-04-19 10:38:13+00:00,636,0.082,0.0
418,2022-04-19 10:33:45+00:00,5527,0.0,0.0
419,2022-04-19 10:29:58+00:00,26,0.0,0.0
420,2022-04-19 10:29:26+00:00,3722,0.0,0.0
421,2022-04-19 08:58:54+00:00,650,0.117,0.322
422,2022-04-19 08:56:38+00:00,127,0.211,0.0
423,2022-04-19 08:55:12+00:00,607,0.0,0.203
424,2022-04-19 08:45:37+00:00,36,0.666,0.0
425,2022-04-19 08:27:18+00:00,1438,0.0,0.143
426,2022-04-19 08:18:36+00:00,232,0.169,0.122
427,2022-04-19 08:17:35+00:00,79,0.0,0.0
428,2022-04-18 21:33:33+00:00,1013,0.0,0.086
429,2022-04-18 21:33:11+00:00,2252,0.0,0.2
430,2022-04-18 21:31:30+00:00,630,0.0,0.12
431,2022-04-18 20:42:54+00:00,1346,0.129,0.149
432,2022-04-18 20:17:21+00:00,9236,0.084,0.121
433,2022-04-18 20:12:53+00:00,2620,0.0,0.29
434,2022-04-18 20:12:39+00:00,563,0.0,0.115
435,2022-04-18 20:08:54+00:00,248,0.0,0.129
436,2022-04-18 20:08:43+00:00,2325,0.0,0.339
437,2022-04-18 20:03:47+00:00,365,0.0,0.13
438,2022-04-18 20:02:28+00:00,2378,0.147,0.081
439,2022-04-18 19:57:49+00:00,4244,0.0,0.0
440,2022-04-18 19:55:04+00:00,5555,0.0,0.0
441,2022-04-18 19:53:48+00:00,221,0.0,0.194
442,2022-04-18 19:52:42+00:00,268,0.0,0.0
443,2022-04-18 19:44:36+00:00,97,0.384,0.0
444,2022-04-18 19:43:24+00:00,1617,0.247,0.153
445,2022-04-18 19:42:43+00:00,3113,0.0,0.0
446,2022-04-18 19:41:04+00:00,1021,0.0,0.243
447,2022-04-18 19:40:41+00:00,126,0.156,0.0
448,2022-04-18 19:33:02+00:00,1483,0.0,0.261
449,2022-04-18 19:32:39+00:00,2076,0.08,0.122
450,2022-04-18 19:25:03+00:00,364,0.076,0.0
451,2022-04-18 19:24:46+00:00,350,0.197,0.147
452,2022-04-18 18:19:54+00:00,100,0.0,0.0
453,2022-04-18 16:41:06+00:00,1114,0.0,0.142
454,2022-04-18 16:37:25+00:00,299,0.294,0.0
455,2022-04-18 16:34:50+00:00,2461,0.0,0.163
456,2022-04-18 15:38:46+00:00,13115,0.108,0.0
457,2022-04-18 15:21:48+00:00,3809,0.228,0.0
458,2022-04-18 15:20:05+00:00,7517,0.124,0.0
459,2022-04-18 15:05:20+00:00,66,0.0,0.0
460,2022-04-18 15:02:06+00:00,5201,0.065,0.203
461,2022-04-18 13:09:06+00:00,4598,0.113,0.061
462,2022-04-18 13:00:48+00:00,542,0.0,0.087
463,2022-04-18 12:48:07+00:00,5108,0.0,0.0
464,2022-04-18 12:47:27+00:00,333,0.0,0.101
465,2022-04-18 12:38:53+00:00,1047,0.0,0.153
466,2022-04-18 11:21:23+00:00,1543,0.0,0.257
467,2022-04-18 11:13:36+00:00,175,0.149,0.246
468,2022-04-18 11:11:35+00:00,1405,0.0,0.0
